"id","jel"
"aejpol_2_4_6","D"
"aejpol_2_4_7","D"
"aejpol_3_1_1","D"
"aejpol_3_1_3","D"
"aejpol_3_1_4","D"
"aejpol_3_1_7","D"
"aejpol_3_2_1","D"
"aejpol_3_2_2","D"
"aejpol_3_3_1","D"
"aejpol_3_3_2","D"
"aejpol_3_3_6","D"
"aejpol_3_4_1","D"
"aejpol_3_4_3","D"
"aejpol_3_4_5","D"
"aejpol_3_4_6","D"
"aejpol_3_4_8","D"
"aejpol_4_1_6","D"
"aejpol_4_1_7","D"
"aejpol_4_3_1","D"
"aejpol_4_3_3","D"
"aejpol_4_3_6","D"
"aejpol_4_3_8","D"
"aejpol_4_4_10","D"
"aejpol_4_4_2","D"
"aejpol_4_4_3","D"
"aejpol_4_4_7","D"
"aejpol_5_1_1","D"
"aejpol_5_1_11","D"
"aejpol_5_1_4","D"
"aejpol_5_1_5","D"
"aejpol_5_1_6","D"
"aejpol_5_1_7","D"
"aejpol_5_1_8","D"
"aejpol_5_2_10","D"
"aejpol_5_2_3","D"
"aejpol_5_2_8","D"
"aejpol_5_3_1","D"
"aejpol_5_3_2","D"
"aejpol_5_3_3","D"
"aejpol_5_3_8","D"
"aejpol_5_4_10","D"
"aejpol_5_4_8","D"
"aejpol_6_1_10","D"
"aejpol_6_1_4","D"
"aejpol_6_1_5","D"
"aejpol_6_1_6","D"
"aejpol_6_1_9","D"
"aejpol_6_2_11","D"
"aejpol_6_2_6","D"
"aejpol_6_3_1","D"
"aejpol_6_3_3","D"
"aejpol_6_3_6","D"
"aejpol_6_3_7","D"
"aejpol_6_3_9","D"
"aejpol_6_4_10","D"
"aejpol_6_4_11","D"
"aejpol_6_4_12","D"
"aejpol_6_4_8","D"
"aejpol_6_4_9","D"
"aer_100_1_14","D"
"aer_100_1_17","D"
"aer_100_1_19","D"
"aer_100_1_2","D"
"aer_100_1_21","D"
"aer_100_1_27","D"
"aer_100_1_8","D"
"aer_100_2_100","D"
"aer_100_2_24","D"
"aer_100_2_25","D"
"aer_100_2_28","D"
"aer_100_2_3","D"
"aer_100_2_33","D"
"aer_100_2_48","D"
"aer_100_2_70","D"
"aer_100_2_77","D"
"aer_100_2_84","D"
"aer_100_2_93","D"
"aer_100_2_94","D"
"aer_100_2_95","D"
"aer_100_2_96","D"
"aer_100_2_99","D"
"aer_100_3_10","D"
"aer_100_3_15","D"
"aer_100_3_17","D"
"aer_100_3_2","D"
"aer_100_3_21","D"
"aer_100_3_22","D"
"aer_100_3_4","D"
"aer_100_4_1","D"
"aer_100_4_10","D"
"aer_100_4_11","D"
"aer_100_4_13","D"
"aer_100_4_14","D"
"aer_100_4_16","D"
"aer_100_4_17","D"
"aer_100_4_20","D"
"aer_100_4_21","D"
"aer_100_4_22","D"
"aer_100_4_25","D"
"aer_100_4_26","D"
"aer_100_4_5","D"
"aer_100_4_6","D"
"aer_100_5_11","D"
"aer_100_5_12","D"
"aer_100_5_13","D"
"aer_100_5_14","D"
"aer_100_5_15","D"
"aer_100_5_16","D"
"aer_100_5_19","D"
"aer_100_5_2","D"
"aer_101_1_12","D"
"aer_101_1_16","D"
"aer_101_1_8","D"
"aer_101_2_10","D"
"aer_101_2_11","D"
"aer_101_2_13","D"
"aer_101_2_2","D"
"aer_101_2_3","D"
"aer_101_2_4","D"
"aer_101_2_6","D"
"aer_101_2_7","D"
"aer_101_2_8","D"
"aer_101_2_9","D"
"aer_101_3_10","D"
"aer_101_3_12","D"
"aer_101_3_15","D"
"aer_101_3_16","D"
"aer_101_3_17","D"
"aer_101_3_18","D"
"aer_101_3_21","D"
"aer_101_3_3","D"
"aer_101_3_37","D"
"aer_101_3_38","D"
"aer_101_3_40","D"
"aer_101_3_41","D"
"aer_101_3_42","D"
"aer_101_3_47","D"
"aer_101_3_5","D"
"aer_101_3_57","D"
"aer_101_3_58","D"
